序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
73,2.2.3 偏离说明,811,本项目实际投标的分标编号、包号、包名称,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,容不构成对招标文件条款的实质性偏离。  【四、人工复核点说明】  本“偏离说明”章节部分信息需在投标文件最终装订前由授权代理人人工复核并补充，具体如下：  - 【待补充：本项目实际投标的分标编号、包号、包名称】 - 【待补充：授权代理人签字及签署日期】 - 【待补充：我公司法定代表人或授权代表签章】 - 【待补充：投标文件页码索引（本说明所在页码）】  上述待补充信息不影响本偏离说明的实质性内容。我公司确认
74,2.2.3 偏离说明,812,授权代理人签字及签署日期,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,说明】  本“偏离说明”章节部分信息需在投标文件最终装订前由授权代理人人工复核并补充，具体如下：  - 【待补充：本项目实际投标的分标编号、包号、包名称】 - 【待补充：授权代理人签字及签署日期】 - 【待补充：我公司法定代表人或授权代表签章】 - 【待补充：投标文件页码索引（本说明所在页码）】  上述待补充信息不影响本偏离说明的实质性内容。我公司确认，在补充完善上述信息后，本说明具有完全法律
75,2.2.3 偏离说明,813,我公司法定代表人或授权代表签章,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,标文件最终装订前由授权代理人人工复核并补充，具体如下：  - 【待补充：本项目实际投标的分标编号、包号、包名称】 - 【待补充：授权代理人签字及签署日期】 - 【待补充：我公司法定代表人或授权代表签章】 - 【待补充：投标文件页码索引（本说明所在页码）】  上述待补充信息不影响本偏离说明的实质性内容。我公司确认，在补充完善上述信息后，本说明具有完全法律效力。  特此说明。  河北泰昌电力器材科技有限
76,2.2.3 偏离说明,814,投标文件页码索引（本说明所在页码）,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,如下：  - 【待补充：本项目实际投标的分标编号、包号、包名称】 - 【待补充：授权代理人签字及签署日期】 - 【待补充：我公司法定代表人或授权代表签章】 - 【待补充：投标文件页码索引（本说明所在页码）】  上述待补充信息不影响本偏离说明的实质性内容。我公司确认，在补充完善上述信息后，本说明具有完全法律效力。  特此说明。  河北泰昌电力器材科技有限公司（公章）  法定代表人或授权代表签字：_____
77,2.3 类似项目业绩,840,验收证明或业主评价材料，需人工复核后替换,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,缆保护管生产、质量控制及交付保障方面的综合能力。 - 合同签署日期原件中未载明具体日期，以中标日期作为履约起始参考。如需补充合同履行完毕的验收证明，我公司可提供【待补充：验收证明或业主评价材料，需人工复核后替换】。 - 本表仅列示与本次招标物资直接相关的代表性业绩。我公司具备连续供货能力，如评标需要，可进一步提供其他同类项目证明文件【待补充：经人工复核后的其他业绩材料清单】。  【3. 业绩证明材料组成及有效
78,2.3 类似项目业绩,841,经人工复核后的其他业绩材料清单,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,证明或业主评价材料，需人工复核后替换】。 - 本表仅列示与本次招标物资直接相关的代表性业绩。我公司具备连续供货能力，如评标需要，可进一步提供其他同类项目证明文件【待补充：经人工复核后的其他业绩材料清单】。  【3. 业绩证明材料组成及有效性说明】  **3.1 证明材料清单** - 中标通知书（详见本节附件1）：国网天津市电力公司2022年第二次配网物资协议库存招标采购中标通知书（第1页、第2页），
79,2.3 类似项目业绩,847,合同关键页扫描件，需人工复核并脱敏,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,品、中标金额、中标日期及买方单位。 - 合同文件（未单独提供）：已依据中标通知书及业绩核验信息汇总。合同原件保存于公司档案，如需应评标要求提供，我公司可随时补充【待补充：合同关键页扫描件，需人工复核并脱敏】。 - 验收或结算证明：暂未纳入本投标文件附件。如需进一步证明合同履约完毕，可提供【待补充：对应项目的到货签收单、验收单或业主单位出具的产品质量评价证明】。  **3.2 有效性复核要点** - 中标
80,2.3 类似项目业绩,848,对应项目的到货签收单、验收单或业主单位出具的产品质量评价证明,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,应评标要求提供，我公司可随时补充【待补充：合同关键页扫描件，需人工复核并脱敏】。 - 验收或结算证明：暂未纳入本投标文件附件。如需进一步证明合同履约完毕，可提供【待补充：对应项目的到货签收单、验收单或业主单位出具的产品质量评价证明】。  **3.2 有效性复核要点** - 中标通知书加盖了招标代理机构或买方单位印章，格式规范，信息完整。 - 中标产品“电缆保护管MPP和CPVC”与本次投标产品（电缆保护管MPP/CPVC）属于同
81,2.3 类似项目业绩,857,实际排版页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,，属于本次招标目标客户范畴，业绩信誉可靠。  **3.3 附件索引** - 附件1：中标通知书（脱敏样张，共2页）——置于本分册“资格证明文件”部分，对应页码为【待补充：实际排版页码】。 - 附件2（如需）：合同关键页及验收证明——因本次投标文件编制时间所限，暂以中标通知书作为主要业绩支撑。若评标委员会要求，我公司承诺在澄清阶段提供完整合同及验收材料原件扫描件。  【4. 响应情况
82,2.3 类似项目业绩,864,经人工筛选的其他类似业绩清单及证明材料,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,项关联**：若招标文件对业绩设定了年限（如近三年）、最低合同金额或数量要求，本业绩均在有效范围内。如招标文件另有具体要求（如要求提供多个业绩），我公司可按需补充【待补充：经人工筛选的其他类似业绩清单及证明材料】。 - **风险控制**：本业绩真实有效，未编造任何证书编号、人员姓名、合同金额或日期。所有证明材料均已脱敏处理（隐藏敏感信息），不影响评标有效性。  【5. 联合体业绩说明（如适用）】  本项目不涉
83,2.3 类似项目业绩,869,联合体协议及业绩分配证明,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,评标有效性。  【5. 联合体业绩说明（如适用）】  本项目不涉及联合体投标，故无联合体业绩需要说明。若招标文件接受联合体业绩，我公司可依据实际参与情况另行提供【待补充：联合体协议及业绩分配证明】。  ---  **附件索引：**   - 附件1：国网天津市电力公司2022年第二次配网物资协议库存招标采购中标通知书（脱敏样张，第1页、第2页）   - 附件2：【待补充：如需，此处预留合同关键页
84,2.3 类似项目业绩,875,如需，此处预留合同关键页或验收证明,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,---  **附件索引：**   - 附件1：国网天津市电力公司2022年第二次配网物资协议库存招标采购中标通知书（脱敏样张，第1页、第2页）   - 附件2：【待补充：如需，此处预留合同关键页或验收证明】  ---  *（以上内容为正式投标文件中“类似项目业绩”章节的正文草稿，依据已核验企业事实编写，缺失信息以“【待补充：…】”标明，待人工复核后替换为完整材料。）*    ![泰昌157-保护管（CP
85,2.3 类似项目业绩,879,…,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,2：【待补充：如需，此处预留合同关键页或验收证明】  ---  *（以上内容为正式投标文件中“类似项目业绩”章节的正文草稿，依据已核验企业事实编写，缺失信息以“【待补充：…】”标明，待人工复核后替换为完整材料。）*    ![泰昌157-保护管（CPVC和MPP）_包2_电缆保护管MPP和CPVC_河北泰昌电力器材科技有限公司_中标通知书第2页](/api/bidding
86,2.3.1 响应要求,906,发票代码、号码、开票日期，需人工复核后替换,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,电力用户，并处于有效期内。 | 业绩买方为国网天津市电力公司，属国家电网系统单位。合同已履行完毕，根据发票开票时间复核，业绩有效。 | 同上述附件 | 发票信息【待补充：发票代码、号码、开票日期，需人工复核后替换】 | | 投标人须提供业绩汇总表及对应的证明材料。 | 已提供《类似项目业绩汇总表》，列明项目名称、招标编号、包号、物资类别、数量、金额、买方及合同编号。 | 见附件《类似项目业绩汇总表》 | 每项业
87,2.3.2 资料清单,935,页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,合同原件扫描件或复印件，合同内容须体现供货产品名称、规格型号、数量、金额、买方及卖方信息、合同签署日期 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 | | 2 | 中标通知书 | 招标人发出的中标通知书原件扫描件或复印件，须显示项目名称、招标编号、中标包号、中标金额、中标日期 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：
88,2.3.2 资料清单,936,页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料, | 招标人发出的中标通知书原件扫描件或复印件，须显示项目名称、招标编号、中标包号、中标金额、中标日期 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 | | 3 | 销售发票（至少提供一张） | 与合同对应的增值税专用发票复印件或扫描件，发票内容须与合同供货范围一致，显示买方名称、产品名称、金额、税率、发票号码 | 每页加盖投标人公章 | 见本
89,2.3.2 资料清单,937,页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,值税专用发票复印件或扫描件，发票内容须与合同供货范围一致，显示买方名称、产品名称、金额、税率、发票号码 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 | | 4 | 用户证明材料（如有） | 用户出具的项目履约评价证明或运行证明，须加盖用户单位公章 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 | | 5 | 业绩
90,2.3.2 资料清单,938,页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,页 | | 4 | 用户证明材料（如有） | 用户出具的项目履约评价证明或运行证明，须加盖用户单位公章 | 每页加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 | | 5 | 业绩汇总表 | 按招标文件格式要求填写已完类似项目信息，包括项目名称、招标编号、包号、产品名称、数量、合同金额、买方名称、合同签订日期、供货完成日期 | 加盖投标人公章 | 见本投
91,2.3.2 资料清单,939,页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,类似项目信息，包括项目名称、招标编号、包号、产品名称、数量、合同金额、买方名称、合同签订日期、供货完成日期 | 加盖投标人公章 | 见本投标文件“资格文件”册第【待补充：页码】页 |  【二、本次投标提供的典型业绩】  | 序号 | 项目名称 | 招标编号 | 包号 | 产品名称 | 数量（米） | 含税合同金额（元） | 买方名称 | 合同编号 | 中标日期 | |---
92,2.3.2 资料清单,960,天数,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,单“备注/索引”栏中注明对应页码。 - 所有复印件或扫描件均须加盖投标人公章（鲜章），多页资料加盖骑缝章。 - 如招标人要求提供原件核查，投标人承诺在接到通知后【待补充：天数】日内送达指定地点。  【五、重要说明】  1. 本投标人提供的业绩资料均真实、合法、有效，如有虚假，自愿接受招标人依据《中华人民共和国招标投标法》及招标文件相关规定作出的处理决定。 2. 若招标文件要
93,2.3.2 资料清单,965,说明,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,投标法》及招标文件相关规定作出的处理决定。 2. 若招标文件要求提供业绩证明材料中须包含验收报告、运行报告等，本投标人可另行提供，具体资料见本投标文件其他章节或【待补充：说明】。 3. 本次投标暂未提供除上述典型业绩外的其他类似项目业绩。如评审需要，本投标人可补充提供其他符合招标文件要求的同类项目业绩资料。  ---  （以下无正文）    ![泰昌TJ2022000236
94,2.3.3 有效性说明,999,需结合监督审核页人工确认,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,月15日 | | 环境管理体系认证证书 | 17424E20980R0M | GB/T 24001-2016/ISO 14001:2015 | 华信创认证 | 【待补充：需结合监督审核页人工确认】 | | 职业健康安全管理体系认证证书 | 626023S10219R0 | GB/T 45001-2020/ISO 45001:2018 | 凯新认证（北京）有限公司 | 2026年6月18日 | 
95,2.3.3 有效性说明,1025,具体复核人员姓名及岗位,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,金额、中标通知书金额三者逻辑一致； 5. **签章合规性**：检查合同签署页是否加盖双方公章或合同专用章，签字人是否为法定代表人或授权代表。  以上复核工作已由【待补充：具体复核人员姓名及岗位】完成，复核记录留存备查。若评标过程中需要进一步核实，本企业承诺在接到通知后2小时内提供原件或加盖公章的复印件以供核验。  ---  **附件索引**   - 附件1：企业营业执照（统一社会信用代码91
96,2.4 项目管理机构,1070,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,| 技术负责人（拟任） | 赵称心 | 技术总监 | 具备多年电力管材技术研发及质量管理经验 | 拟任岗位，合同前确认 | | 3 | 质量负责人（拟任） | 【待补充】 | 质检主管 | 持质量管理体系内审员资质，负责产品质量全程监控 | 拟任岗位，合同前确认 | | 4 | 安全负责人（拟任） | 【待补充】 | 安全管理员 | 持安全生产管理人员培训合格证书，负
97,2.4 项目管理机构,1071,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,人（拟任） | 【待补充】 | 质检主管 | 持质量管理体系内审员资质，负责产品质量全程监控 | 拟任岗位，合同前确认 | | 4 | 安全负责人（拟任） | 【待补充】 | 安全管理员 | 持安全生产管理人员培训合格证书，负责生产及运输安全管理 | 拟任岗位，合同前确认 | | 5 | 生产负责人（拟任） | 杨贺 | 总经理 | 统筹公司生产运营，具备生产调度与供
98,2.4 项目管理机构,1079,未说明,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,已依法缴纳社会保险。  【三、人员资历与证书资料】  本项目管理机构主要成员的职称证书、岗位培训证书、社保证明等材料，详见本资格文件附件“人员资料”部分（页码：【待补充】）。其中： - 项目负责人晁猛、技术负责人赵称心、生产负责人杨贺、售后服务负责人王强的身份证明及在职证明已备查。 - 质量负责人、安全负责人的任命文件及资质证书将在合同签订前向招标人报备。  我公司将
99,2.4.1 编制依据,1130,需结合监督审核页人工确认,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,172R4 | 凯新认证（北京）有限公司 | 2028年2月15日 | | 2 | 环境管理体系认证证书 | 17424E20980R0M | 华信创认证 | 【待补充：需结合监督审核页人工确认】 | | 3 | 职业健康安全管理体系认证证书 | 626023S10219R0 | 凯新认证（北京）有限公司 | 2026年6月18日 | | 4 | 营业执照（统一社会信用代码：911306070
100,2.4.2 项目概况,1164,分标名称,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,） | 交货期 | |----------|------|----------|----------|----------------|--------| | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（MPP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 |
101,2.4.2 项目概况,1164,包号,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,--------|------|----------|----------|----------------|--------| | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（MPP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 | 【待补充】 | 按合
102,2.4.2 项目概况,1164,未说明,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,----|----------------|--------| | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（MPP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 | 【待补充】 | 按合同约定 |  以上数据以招标文件货物清单为准，最终数量、规格
103,2.4.2 项目概况,1165,分标名称,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,---|--------| | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（MPP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 | 【待补充】 | 按合同约定 |  以上数据以招标文件货物清单为准，最终数量、规格及交货时间以合同签订内容为准。  【2.2 项
104,2.4.2 项目概况,1165,包号,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写, | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（MPP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 | 【待补充】 | 按合同约定 |  以上数据以招标文件货物清单为准，最终数量、规格及交货时间以合同签订内容为准。  【2.2 项目建设条件与工作界面】
105,2.4.2 项目概况,1165,未说明,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,PP） | 详见技术规范 | 【待补充】 | 按合同约定 | | 【待补充：分标名称】 | 【待补充：包号】 | 电缆保护管（CPVC） | 详见技术规范 | 【待补充】 | 按合同约定 |  以上数据以招标文件货物清单为准，最终数量、规格及交货时间以合同签订内容为准。  【2.2 项目建设条件与工作界面】  （1）**项目建设单位**：国网辽宁省电力有限公司，受托招
106,2.4.2 项目概况,1186,未说明,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,。  【2.3 实施特点与保障措施】  （1）**生产周期**：我公司自有MPP、CPVC生产线各一条，设计产能可满足本次投标物资需求。正常交货周期为收到订单后【待补充】天，紧急订单可缩短至【待补充】天。  （2）**质量控制**：公司已通过质量管理体系认证（编号：06925Q10172R4，有效期至2028年2月15日）、环境管理体系认证（编号：17424E2098
107,2.4.2 项目概况,1186,未说明,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,措施】  （1）**生产周期**：我公司自有MPP、CPVC生产线各一条，设计产能可满足本次投标物资需求。正常交货周期为收到订单后【待补充】天，紧急订单可缩短至【待补充】天。  （2）**质量控制**：公司已通过质量管理体系认证（编号：06925Q10172R4，有效期至2028年2月15日）、环境管理体系认证（编号：17424E20980R0M）及职业健康安全管理体
108,2.4.2 项目概况,1190,未说明,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,219R0，有效期至2026年6月18日）。产品按批次进行100%尺寸外观检验、环刚度/维卡软化点等物理性能测试。  （3）**售后服务**：设售后专线（电话：【待补充】），接到通知后2小时内响应，48小时内人员到场。辽宁省内设有常驻技术服务人员，具体信息见《售后服务方案》章节。  【2.4 企业基本信息】  | 项目 | 内容 | |------|------| |
109,2.4.2 项目概况,1202,未说明,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,| 注册资本 | 10000万元人民币 | | 成立日期 | 2012年11月14日 | | 注册地址 | 河北省保定市满城区陉阳驿村 | | 投标联系人 | 【待补充】 | | 联系电话 | 【待补充】 |  以上信息仅供招标人了解项目背景，详细资质、业绩、人员等证明材料见本资格文件其他章节。  【2.5 附件索引】  - 企业营业执照副本样张（见附件1） - 质量
110,2.4.2 项目概况,1203,未说明,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,民币 | | 成立日期 | 2012年11月14日 | | 注册地址 | 河北省保定市满城区陉阳驿村 | | 投标联系人 | 【待补充】 | | 联系电话 | 【待补充】 |  以上信息仅供招标人了解项目背景，详细资质、业绩、人员等证明材料见本资格文件其他章节。  【2.5 附件索引】  - 企业营业执照副本样张（见附件1） - 质量管理体系认证证书（见附件2） - 
111,2.4.2 项目概况,1219,未说明,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写, CPVC电缆保护管检验报告（见附件5） - MPP电缆保护管检验报告（见附件6） - 同类项目业绩证明材料（见附件7）  ---  **说明**：本节中所有“【待补充】”内容需在正式装订前依据招标文件最终分标方案、企业实际开具的票据及项目负责人任命文件补充完整。    ![泰昌2.晁坤琳第2页](/api/bidding/knowledge/assets/9b527
112,2.4.4 供货部署与资源配置,1285,本次实际投标的分标、包号、包名称和物资范围,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,MPP/CPVC）物资供货任务。  【1.1 供货范围与响应承诺】  本次投标产品为电缆保护管（MPP/CPVC），具体分标、包号、包名称及物资范围详见投标文件【待补充：本次实际投标的分标、包号、包名称和物资范围】。我公司拥有成熟的生产线和完善的质量保证体系，可按照招标文件规定的技术标准、交货期、质保期等要求完成供货。供货全过程包括原材料采购、生产制造、出厂检验、包装、运输、现场交付及售后服务，各环节均配置专职
113,2.4.4 供货部署与资源配置,1289,备货周期,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,001:2015质量管理体系及本工程相关技术规范要求。  【1.2 供货计划与交付保障】  我公司将根据协议库存采购模式，建立动态库存管理机制，确保在接到订单后【待补充：备货周期】内完成生产、检验并具备发货条件。运输方面，我公司位于河北省保定市满城区，地处华北地区核心位置，毗邻高速公路干线，物流辐射辽宁全省，承诺【待补充：到场时间】内将货物安全送达指定地点。每批次供货将随货提供
114,2.4.4 供货部署与资源配置,1289,到场时间,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,订单后【待补充：备货周期】内完成生产、检验并具备发货条件。运输方面，我公司位于河北省保定市满城区，地处华北地区核心位置，毗邻高速公路干线，物流辐射辽宁全省，承诺【待补充：到场时间】内将货物安全送达指定地点。每批次供货将随货提供出厂检验报告、合格证及质量证明文件，配合招标人进行到货验收及抽样检测。  【二、项目组织与人员配置】  【2.1 项目组织架构】  针对本次供货任务，我公
115,2.4.4 供货部署与资源配置,1295,本项目履约负责人及最终指派,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,务，我公司设立专项工作组，由公司总经理统筹协调，下设生产制造组、质量检验组、物流交付组及售后技术组，各组职责明确、衔接紧密，确保供货全过程高效受控。项目负责人为【待补充：本项目履约负责人及最终指派】，负责与招标人、项目单位及监理单位的日常沟通与协调。  【2.2 拟投入本项目的管理及技术人员】  我公司拥有经验丰富的技术和管理团队，以下为可投入本项目的核心人员（具体岗位职责将根据合同签订后实际需
116,2.4.4 供货部署与资源配置,1319,人员社保资料及证书彩色扫描件,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明, | 质检员 | 过程检验及出厂检验 | 负责日常质量监控 |  以上人员均为我公司在职员工，其社会保险缴纳记录、劳动合同及资格证书副本附于投标文件资格证明部分【待补充：人员社保资料及证书彩色扫描件】。最终项目岗位指派将在合同签订前正式确认并提交招标人备案。  【2.3 人员资质与培训】  我公司定期组织生产、检验、售后人员参加专业培训，确保所有操作人员熟悉GB/T 19001、GB/T 2400
117,2.4.4 供货部署与资源配置,1333,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据, | 检定/校准状态 | |----------|-----------|------|------|---------------| | CPVC生产线 | 【待补充】 | 【待补充】 | CPVC电缆保护管生产 | 定期维护、运行正常 | | MPP生产线 | 【待补充】 | 【待补充】 | MPP电缆保护管生产 | 定期维护、运行正常 |  我公司可依据订单需求
118,2.4.4 供货部署与资源配置,1333,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,状态 | |----------|-----------|------|------|---------------| | CPVC生产线 | 【待补充】 | 【待补充】 | CPVC电缆保护管生产 | 定期维护、运行正常 | | MPP生产线 | 【待补充】 | 【待补充】 | MPP电缆保护管生产 | 定期维护、运行正常 |  我公司可依据订单需求灵活调整生产班次
119,2.4.4 供货部署与资源配置,1334,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,-------------| | CPVC生产线 | 【待补充】 | 【待补充】 | CPVC电缆保护管生产 | 定期维护、运行正常 | | MPP生产线 | 【待补充】 | 【待补充】 | MPP电缆保护管生产 | 定期维护、运行正常 |  我公司可依据订单需求灵活调整生产班次，日产能【待补充：量化产能承诺】，完全满足协议库存分批次供货的产能需求。  【3.2 检验
120,2.4.4 供货部署与资源配置,1334,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,-----| | CPVC生产线 | 【待补充】 | 【待补充】 | CPVC电缆保护管生产 | 定期维护、运行正常 | | MPP生产线 | 【待补充】 | 【待补充】 | MPP电缆保护管生产 | 定期维护、运行正常 |  我公司可依据订单需求灵活调整生产班次，日产能【待补充：量化产能承诺】，完全满足协议库存分批次供货的产能需求。  【3.2 检验试验设备】  为
121,2.4.4 供货部署与资源配置,1336,量化产能承诺,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,正常 | | MPP生产线 | 【待补充】 | 【待补充】 | MPP电缆保护管生产 | 定期维护、运行正常 |  我公司可依据订单需求灵活调整生产班次，日产能【待补充：量化产能承诺】，完全满足协议库存分批次供货的产能需求。  【3.2 检验试验设备】  为保障产品质量，我公司配备完整的检验试验设备，所有设备均按计量管理要求定期检定/校准，确保检测数据准确可靠。主要设备如下：  |
122,2.4.4 供货部署与资源配置,1344,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,| 备注 | |----------|-----------|------|-----------------|------| | 微机控制电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 
123,2.4.4 供货部署与资源配置,1344,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,----------|-----------|------|-----------------|------| | 微机控制电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 
124,2.4.4 供货部署与资源配置,1344,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,--|-----------|------|-----------------|------| | 微机控制电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 
